"user_id","feature","efficiency","consumables","comparison","time","driving_hours","driving_distance"
"VIN1010","极致省电（动能回收最高）","14.0 kWh/100km","SOH当前为98.5%","能耗击败了全国 90% 的同型号车主","2025-01","37.3","1100"
"VIN1010","舒适为主（常开大功率空调）","18.2 kWh/100km","SOH当前为98.4%","能耗处于全国平均水平","2025-02","30.5","810"
"VIN1010","新手摸索（启停不均）","17.2 kWh/100km","SOH当前为98.4%","能耗处于全国平均水平","2025-03","40.1","1140"
"VIN1010","常规通勤（拥堵路段偏多）","16.4 kWh/100km","SOH当前为98.3%","能耗处于全国平均水平","2025-04","47.8","1420"
"VIN1010","新手摸索（启停不均）","15.4 kWh/100km","SOH当前为98.3%","能耗处于全国平均水平","2025-05","52.6","1580"
"VIN1010","平稳驾驶（均速驾驶为主）","16.5 kWh/100km","SOH当前为98.1%","能耗处于全国平均水平","2025-06","48.4","1430"
"VIN1010","常规通勤（拥堵路段偏多）","17.4 kWh/100km","SOH当前为97.8%","能耗处于全国平均水平","2025-07","55.9","1650"
"VIN1010","常规通勤（拥堵路段偏多）","16.4 kWh/100km","SOH当前为97.7%","能耗处于全国平均水平","2025-08","44.3","1280"
"VIN1010","激进驾驶（频繁急加速）","22.6 kWh/100km","SOH当前为97.9%","能耗高于全国 93% 的同型号车主","2025-09","38.1","1050"
"VIN1010","舒适为主（常开大功率空调）","16.4 kWh/100km","SOH当前为97.5%","能耗处于全国平均水平","2025-10","43.7","1300"
"VIN1010","激进驾驶（频繁急加速）","20.7 kWh/100km","SOH当前为97.0%","能耗高于全国 93% 的同型号车主","2025-11","32.8","890"
"VIN1010","舒适为主（常开大功率空调）","18.3 kWh/100km","SOH当前为97.3%","能耗处于全国平均水平","2025-12","24.1","560"
